Model_Type,Exposure,Outcome,TE_Estimate,NDE_Estimate,Mean_Abs_NIE,NIE_Significant_Count
RetiSEM_GAM,LBDLDL,BPXDI2,-0.26192486115955377,-0.21877713552663286,0.023797513925127686,0
RetiSEM_GAM,LBDLDL,BPXDI3,0.0331291561203025,0.07909580562096938,0.02385616885691525,0
RetiSEM_GAM,LBDLDL,BPXDI4,0.4317728042807315,0.4151669257030436,0.004943772801323358,0
RetiSEM_GAM,LBDLDL,BPXSY2,1.5396189311306239,1.715231020077519,0.047816889758732536,0
RetiSEM_GAM,LBDLDL,BPXSY3,0.6326457212958277,0.8110312085791523,0.03679761938265417,0
RetiSEM_GAM,LBDLDL,BPXSY4,-0.3754412577465239,-0.42577164574519133,0.016355635945600393,1
RetiSEM_GAM,LBDLDL,LBXCRP,-0.3730433080263307,-0.2986350672859291,0.04050704546834316,0
RetiSEM_GAM,LBDLDL,LBXGH,-0.9765515988420539,-0.8749373748590994,0.0428754599126164,0
RetiSEM_GAM,LBDLDL,LBXGLU,-0.5878676971856441,-0.5670564325581878,0.029306916334519678,1
RetiSEM_GAM,LBDLDL,LBXIN,-0.7122313731719829,-0.6651487862102282,0.03644326666106571,0
RetiSEM_GAM,LBDLDL,LBXSCR,-0.6183021262656135,-0.6321488361264392,0.018958469705956427,1
RetiSEM_GAM,LBDLDL,URXUCR,0.5144814561530876,0.4663338272308272,0.03653761326327265,0
RetiSEM_GAM,LBDLDL,URXUMA,-0.6089733639171945,-0.637074362618879,0.049316919887506624,1
RetiSEM_GAM,LBXAPB,BPXDI2,0.7770895676917495,0.7923736888734881,0.056870670937816614,0
RetiSEM_GAM,LBXAPB,BPXDI3,0.876088101999839,0.9325047759165053,0.06377375418236653,1
RetiSEM_GAM,LBXAPB,BPXDI4,-0.062242943128138196,-0.10121635642720073,0.007123051621311368,0
RetiSEM_GAM,LBXAPB,BPXSY2,1.5482693223437267,1.7063554750652035,0.05773074990199325,0
RetiSEM_GAM,LBXAPB,BPXSY3,1.0663402418435648,1.1854113477819177,0.043653010957551155,1
RetiSEM_GAM,LBXAPB,BPXSY4,-0.14085844910380438,-0.23196557746155783,0.048242650624092116,1
RetiSEM_GAM,LBXAPB,LBXCRP,0.8439211033704102,0.8332880046140285,0.07644401108227453,0
RetiSEM_GAM,LBXAPB,LBXGH,0.09952873500308061,0.1683986023651388,0.0817748828689616,0
RetiSEM_GAM,LBXAPB,LBXGLU,-0.7454724775809046,-0.6362901729567068,0.0585690270590414,1
RetiSEM_GAM,LBXAPB,LBXIN,0.40164554025796784,0.43013193093954144,0.07059224338062935,0
RetiSEM_GAM,LBXAPB,LBXSCR,0.17248100298171942,0.1014291067441416,0.017915154907085517,0
RetiSEM_GAM,LBXAPB,URXUCR,0.262421975780147,-0.11922314400741518,0.023955612190295097,0
RetiSEM_GAM,LBXAPB,URXUMA,0.4447251320083785,0.4216551173134627,0.07085010222349584,1
RetiSEM_GAM,LBXTR,BPXDI2,-0.6299502668785094,-0.6896640820321128,0.01830277146409936,0
RetiSEM_GAM,LBXTR,BPXDI3,-0.3863189983170224,-0.45784429042320873,0.012607529312847627,0
RetiSEM_GAM,LBXTR,BPXDI4,-0.1948250391129902,-0.20934177478068489,0.0029600971922337477,0
RetiSEM_GAM,LBXTR,BPXSY2,-0.6954250095592452,-0.6251919073595668,0.022907083312868594,0
RetiSEM_GAM,LBXTR,BPXSY3,-1.090340188458943,-1.0538674342038208,0.028038526209696026,0
RetiSEM_GAM,LBXTR,BPXSY4,-0.2702356121531954,-0.29302653918682825,0.027461294855032178,0
RetiSEM_GAM,LBXTR,LBXCRP,2.3716846330555073,2.41810950524578,0.014024071470659915,0
RetiSEM_GAM,LBXTR,LBXGH,3.5150893269494645,3.586853625199867,0.025030928256820018,0
RetiSEM_GAM,LBXTR,LBXGLU,4.276518935568058,4.285099124158408,0.03605175862041849,0
RetiSEM_GAM,LBXTR,LBXIN,1.1885205639345802,1.1050105502406973,0.031081110436473543,0
RetiSEM_GAM,LBXTR,LBXSCR,-0.25237872400771977,-0.19944987318423538,0.007258286239911914,0
RetiSEM_GAM,LBXTR,URXUCR,1.8835061067565697,2.0257659392606007,0.019603157560049166,0
RetiSEM_GAM,LBXTR,URXUMA,1.2621900444723482,1.193144565911537,0.0400672333598276,1
